a,b
0.00000002,0.986998715826882
0.00000004,1.00582985384558
0.00000006,0.970180987474048
0.00000008,0.917640347265707
0.0000001,0.981603546313879
0.00000012,1
0.00000014,0.872623047759558
0.00000016,1.0061227923655
0.00000018,1.00919279209853
0.0000002,0.931198012701132
0.00000022,0.902503567586351
0.00000024,0.974586020318467
0.00000026,1.01273808371773
0.00000028,0.760667317388638
0.0000003,0.842641279632172
0.00000032,0.886890874449701
0.00000034,0.620936926850468
0.00000036,0.816722002450431
0.00000038,0.782149660688384
0.0000004,0.700176781897911
0.00000042,0.69032193338804
0.00000044,0.773893106815834
0.00000046,0.740487615875144
0.00000048,0.723290584784973
0.0000005,0.82657845873777
0.00000052,0.852649089779215
0.00000054,0.857437807426263
0.00000056,0.910244975315921
0.00000058,0.912139799863236
0.0000006,0.918078689806347
0.00000062,0.821714891884434
0.00000064,0.86367472889379
0.00000066,0.975679952985364
0.00000068,1.01482689840359
0.0000007,0.95001968827933
0.00000072,0.934974437501338
0.00000074,0.979764379272335
0.00000076,0.902082311683283
0.00000078,0.885416856004807
0.0000008,0.928911125997055
0.00000082,0.906295736260995
0.00000084,0.982134729192123
0.00000086,1.03117924497046
0.00000088,0.898971284965726
0.0000009,0.93973287076298
0.00000092,0.905681535220843
0.00000094,0.905677538780288
0.00000096,0.895433013074706
0.00000098,0.780153404512823
0.000001,0.684960380653227
0.00000102,0.925211632490798
0.00000104,0.963760326730631
0.00000106,0.997250899933301
0.00000108,0.970115374517653
0.0000011,0.941054962677309
0.00000112,0.890037705096788
0.00000114,0.937333316486165
0.00000116,0.875185236943578
0.00000118,0.974726851779563
0.0000012,0.933751835262251
0.00000122,0.976095132141792
0.00000124,0.909986643612407
0.00000126,0.909581188276097
0.00000128,0.896106355678216
0.0000013,0.836218073151579
0.00000132,0.672450287702784
0.00000134,0.56866910451569
0.00000136,0.479074842232299
0.00000138,0.539852126076989
0.0000014,0.564333878392215
0.00000142,0.678026241827062
0.00000144,0.834579732609906
0.00000146,0.811128854094598
0.00000148,0.897517348335773
