Sample in Buffer,Sample in Window,TRIGGER,design_1_i/CIS_test_0_o_vsync,design_1_i/CIS_test_0_o_hsync,design_1_i/cis_pclk_1,design_1_i/cis_d_1[7:0],design_1_i/CIS_test_0_o_hsync_cnt[31:0],design_1_i/CIS_test_0_o_pclk_cnt[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED
136,136,0,1,1,1,02,6,9909
137,137,0,1,1,1,02,6,9910
138,138,0,1,1,1,02,6,9911
139,139,0,1,1,1,02,6,9912
140,140,0,1,1,1,02,6,9913
141,141,0,1,1,1,02,6,9914
142,142,0,1,1,1,02,6,9915
143,143,0,1,1,1,02,6,9916
144,144,0,1,1,1,02,6,9917
145,145,0,1,1,1,02,6,9918
146,146,0,1,1,1,02,6,9919
147,147,0,1,1,1,02,6,9920
148,148,0,1,1,1,02,6,9921
149,149,0,1,1,1,02,6,9922
150,150,0,1,1,1,02,6,9922
151,151,0,1,1,1,02,6,9923
152,152,0,1,1,0,02,6,9924
153,153,0,1,1,0,02,6,9925
154,154,0,1,1,0,02,6,9926
155,155,0,1,1,0,02,6,9927
156,156,0,1,1,0,02,6,9928
157,157,0,1,1,0,02,6,9929
158,158,0,1,1,0,02,6,9930
159,159,0,1,1,0,02,6,9931
160,160,0,1,1,0,02,6,9932
161,161,0,1,1,0,02,6,9933
162,162,0,1,1,0,02,6,9934
163,163,0,1,1,0,02,6,9935
164,164,0,1,1,0,02,6,9936
165,165,0,1,1,0,02,6,9937
166,166,0,1,1,0,02,6,9938
167,167,0,1,1,0,02,6,9939
168,168,0,1,1,0,02,6,9940
169,169,0,1,1,0,02,6,9941
170,170,0,1,1,0,02,6,9942
171,171,0,1,1,0,02,6,9943
172,172,0,1,1,0,02,6,9944
173,173,0,1,1,0,02,6,9945
174,174,0,1,1,0,02,6,9946
175,175,0,1,1,0,02,6,9947
176,176,0,1,1,0,02,6,9948
177,177,0,1,1,0,02,6,9949
178,178,0,1,1,0,02,6,9950
179,179,0,1,1,0,02,6,9951
180,180,0,1,1,0,02,6,9952
181,181,0,1,1,0,02,6,9953
182,182,0,1,1,0,02,6,9954
183,183,0,1,1,0,02,6,9955
184,184,0,1,1,0,02,6,9956
185,185,0,1,1,0,02,6,9957
186,186,0,1,1,0,02,6,9958
187,187,0,1,1,0,02,6,9959
188,188,0,1,1,0,02,6,9960
189,189,0,1,1,0,02,6,9961
190,190,0,1,1,0,02,6,9962
191,191,0,1,1,0,02,6,9963
192,192,0,1,1,0,02,6,9964
193,193,0,1,1,0,02,6,9965
194,194,0,1,1,0,02,6,9966
195,195,0,1,1,0,02,6,9967
196,196,0,1,1,0,02,6,9968
197,197,0,1,1,0,02,6,9969
198,198,0,1,1,0,02,6,9970
199,199,0,1,1,0,02,6,9971
200,200,0,1,1,0,02,6,9972
201,201,0,1,1,0,02,6,9973
202,202,0,1,1,0,02,6,9974
203,203,0,1,1,0,02,6,9975
204,204,0,1,1,0,02,6,9976
205,205,0,1,1,0,02,6,9977
206,206,0,1,1,0,02,6,9978
207,207,0,1,1,1,02,6,9979
208,208,0,1,1,1,02,6,9980
209,209,0,1,1,1,02,6,9981
210,210,0,1,1,1,02,6,9982
211,211,0,1,1,1,02,6,9983
212,212,0,1,1,1,02,6,9984
213,213,0,1,1,1,02,6,9985
214,214,0,1,1,1,02,6,9986
215,215,0,1,1,1,02,6,9987
216,216,0,1,1,1,02,6,9988
217,217,0,1,1,1,02,6,9989
218,218,0,1,1,1,02,6,9990
219,219,0,1,1,1,02,6,9991
220,220,0,1,1,1,02,6,9992
221,221,0,1,1,1,02,6,9993
222,222,0,1,1,1,02,6,9994
223,223,0,1,1,1,02,6,9995
224,224,0,1,1,1,02,6,9996
225,225,0,1,1,1,02,6,9997
226,226,0,1,1,1,02,6,9998
227,227,0,1,1,1,02,6,9999
228,228,0,1,1,1,02,6,10000
229,229,0,1,1,1,02,6,10001
230,230,0,1,1,1,02,6,10002
231,231,0,1,1,1,02,6,10003
232,232,0,1,1,1,02,6,10004
233,233,0,1,1,1,02,6,10005
234,234,0,1,1,1,02,6,10006
235,235,0,1,1,1,02,6,10007
236,236,0,1,1,1,02,6,10008
237,237,0,1,1,1,02,6,10009
238,238,0,1,1,1,02,6,10010
239,239,0,1,1,1,02,6,10011
240,240,0,1,1,1,02,6,10012
241,241,0,1,1,1,02,6,10013
242,242,0,1,1,1,02,6,10014
243,243,0,1,1,1,02,6,10015
244,244,0,1,1,1,02,6,10016
245,245,0,1,1,1,02,6,10017
246,246,0,1,1,1,02,6,10018
247,247,0,1,1,1,02,6,10019
248,248,0,1,1,1,02,6,10020
249,249,0,1,1,1,02,6,10021
250,250,0,1,1,1,02,6,10022
251,251,0,1,1,1,02,6,10023
252,252,0,1,1,1,02,6,10020
253,253,0,1,1,1,02,6,10024
254,254,0,1,1,1,02,6,10025
255,255,0,1,1,0,02,6,10026
256,256,0,1,1,0,02,6,10027
257,257,0,1,1,0,02,6,10028
258,258,0,1,1,0,02,6,10029
259,259,0,1,1,0,02,6,10030
260,260,0,1,1,0,02,6,10031
261,261,0,1,1,0,02,6,10032
262,262,0,1,1,0,02,6,10033
263,263,0,1,1,0,02,6,10034
264,264,0,1,1,0,02,6,10035
265,265,0,1,1,0,02,6,10036
266,266,0,1,1,0,02,6,10037
267,267,0,1,1,0,02,6,10038
268,268,0,1,1,0,02,6,10039
269,269,0,1,1,0,02,6,10040
270,270,0,1,1,0,02,6,10041
271,271,0,1,1,0,02,6,10042
272,272,0,1,1,0,02,6,10043
273,273,0,1,1,0,02,6,10044
274,274,0,1,1,0,02,6,10045
275,275,0,1,1,0,02,6,10046
276,276,0,1,1,0,02,6,10047
277,277,0,1,1,0,02,6,10048
278,278,0,1,1,0,02,6,10049
279,279,0,1,1,0,02,6,10050
280,280,0,1,1,0,02,6,10051
281,281,0,1,1,0,02,6,10052
282,282,0,1,1,0,02,6,10053
283,283,0,1,1,0,02,6,10054
284,284,0,1,1,0,02,6,10055
285,285,0,1,1,0,02,6,10056
286,286,0,1,1,0,02,6,10057
287,287,0,1,1,0,02,6,10058
288,288,0,1,1,0,02,6,10059
289,289,0,1,1,0,02,6,10060
290,290,0,1,1,0,02,6,10061
291,291,0,1,1,0,02,6,10062
292,292,0,1,1,0,02,6,10063
293,293,0,1,1,0,02,6,10064
294,294,0,1,1,0,02,6,10065
295,295,0,1,1,0,02,6,10066
296,296,0,1,1,0,02,6,10067
297,297,0,1,1,0,02,6,10068
298,298,0,1,1,0,02,6,10069
299,299,0,1,1,0,02,6,10070
300,300,0,1,1,0,02,6,10071
301,301,0,1,1,0,02,6,10072
302,302,0,1,1,0,02,6,10073
303,303,0,1,1,0,02,6,10074
304,304,0,1,1,0,02,6,10075
305,305,0,1,1,1,02,6,10076
306,306,0,1,1,1,02,6,10077
307,307,0,1,1,1,02,6,10078
308,308,0,1,1,1,02,6,10079
309,309,0,1,1,1,02,6,10080
310,310,0,1,1,1,02,6,10081
311,311,0,1,1,1,02,6,10082
312,312,0,1,1,1,02,6,10083
313,313,0,1,1,1,02,6,10084
314,314,0,1,1,1,02,6,10085
315,315,0,1,1,1,02,6,10086
316,316,0,1,1,1,02,6,10087
317,317,0,1,1,1,02,6,10088
318,318,0,1,1,1,02,6,10089
319,319,0,1,1,1,02,6,10090
320,320,0,1,1,1,02,6,10091
321,321,0,1,1,1,02,6,10092
322,322,0,1,1,1,02,6,10093
323,323,0,1,1,1,02,6,10094
324,324,0,1,1,1,02,6,10095
325,325,0,1,1,1,02,6,10096
326,326,0,1,1,1,02,6,10097
327,327,0,1,1,1,02,6,10098
328,328,0,1,1,1,02,6,10099
329,329,0,1,1,1,02,6,10100
330,330,0,1,1,1,02,6,10101
331,331,0,1,1,1,02,6,10102
332,332,0,1,1,1,02,6,10103
333,333,0,1,1,1,02,6,10104
334,334,0,1,1,1,02,6,10105
335,335,0,1,1,1,02,6,10106
336,336,0,1,1,1,02,6,10107
337,337,0,1,1,1,02,6,10108
338,338,0,1,1,1,02,6,10109
339,339,0,1,1,1,02,6,10110
340,340,0,1,1,1,02,6,10111
341,341,0,1,1,1,02,6,10112
342,342,0,1,1,1,02,6,10113
343,343,0,1,1,1,02,6,10114
344,344,0,1,1,1,02,6,10115
345,345,0,1,1,1,02,6,10116
346,346,0,1,1,1,02,6,10117
347,347,0,1,1,1,02,6,10118
348,348,0,1,1,1,02,6,10119
349,349,0,1,1,1,02,6,10120
350,350,0,1,1,1,02,6,10121
351,351,0,1,1,1,02,6,10122
352,352,0,1,1,1,02,6,10122
353,353,0,1,1,1,02,6,10123
354,354,0,1,1,0,02,6,10124
355,355,0,1,1,0,02,6,10125
356,356,0,1,1,0,02,6,10126
357,357,0,1,1,0,02,6,10127
358,358,0,1,1,0,02,6,10128
359,359,0,1,1,0,02,6,10129
